CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage
opennlp72,opennlp,72,"opennlp.tools.ml.model.AbstractModel.init(String[],String[])",0,43,0,0,0,0,43,7,1,43,21,6,0.162790698,0.023255814,0.488372093,0.139534884,2,5,2,0,0,0,0,28,1
opennlp91,opennlp,91,opennlp.tools.ml.maxent.quasinewton.ArrayMath.l2norm(double[]),0,45,0,0,0,0,45,2,2,45,16,13,0.044444444,0.044444444,0.355555556,0.288888889,1,2,1,0,0,0,0,5,1
spark1,spark,1,"spark.embeddedserver.jetty.EmbeddedJettyFactory.create(Routes,StaticFilesConfiguration,boolean)",0,167,0,0,0,0,167,23,0,167,44,0,0.137724551,0,0.263473054,0,1,5,1,0,0,0,0,26,1
spark13,spark,13,spark.embeddedserver.EmbeddedServers.initialize(),0,165,0,0,0,0,165,36,0,165,100,0,0.218181818,0,0.606060606,0,2,3,2,0,0,0,0,10,1
spark32,spark,32,spark.Spark.stop(),0,176,0,0,0,0,176,38,37,176,76,76,0.215909091,0.210227273,0.431818182,0.431818182,1,2,-1,0,0,0,0,3,1
spark36,spark,36,spark.route.ServletRoutes.get(),0,186,0,0,0,0,186,31,17,186,132,84,0.166666667,0.091397849,0.709677419,0.451612903,2,5,2,0,0,0,0,8,1
spark4,spark,4,"spark.embeddedserver.jetty.websocket.WebSocketServletContextHandlerFactory.create(Map<String,WebSocketHandlerWrapper>,Optional<Integer>)",0,168,0,0,0,0,168,15,0,168,52,0,0.089285714,0,0.30952381,0,5,15,7,0,0,0,7,62,0.898550725
spark47,spark,47,"spark.Request.String>getParams(List<String>,List<String>)",0,166,0,0,0,0,166,14,8,166,44,27,0.084337349,0.048192771,0.265060241,0.162650602,4,9,4,0,0,0,0,53,1
spatial4j66,spatial4j,66,org.locationtech.spatial4j.io.WKTReader.getFormatName(),0,133,0,0,0,0,133,20,20,133,53,53,0.15037594,0.15037594,0.398496241,0.398496241,1,2,1,0,0,0,0,2,1
disruptor10,disruptor,10,"com.lmax.disruptor.Sequence.compareAndSet(long,long)",1,862,1,1,1,1,862,78,78,862,307,307,0.090487239,0.090487239,0.356148492,0.356148492,1,2,1,1,2,1,0,7,1
